Data;SPXI;IBOV;IMAB;IRFM
15/09/2020;190;100297,91;7704,605699;14221,46718
16/09/2020;187,53;99675,68;7683,42194;14202,25652
17/09/2020;185,7;100097,83;7680,38301;14232,47163
18/09/2020;188,76;98289,71;7581,649418;14170,84474
21/09/2020;186,58;96990,72;7565,657656;14162,45693
22/09/2020;191,87;97293,54;7618,960009;14189,66837
23/09/2020;191,34;95734,82;7578,262211;14162,26168
24/09/2020;188,21;97012,07;7647,078596;14215,46765
25/09/2020;193,77;96999,38;7634,433376;14215,61229
28/09/2020;199,69;94666,37;7532,202686;14133,19781
29/09/2020;197,92;93580,35;7542,475827;14122,40887
30/09/2020;199,58;94603,38;7583,918769;14157,97242
01/10/2020;201,38;95478,52;7591,583446;14145,26261
02/10/2020;200,79;94015,68;7531,947335;14094,75902
05/10/2020;200,01;96089,19;7570,914227;14139,1917
06/10/2020;198,67;95615,03;7559,247492;14098,00236
07/10/2020;202,99;95526,26;7560,81187;14098,71599
08/10/2020;203,86;97919,73;7591,029904;14119,51331
09/10/2020;203,32;97483,31;7619,091455;14122,51403
13/10/2020;207,01;98502,82;7621,059653;14150,51046
14/10/2020;206,63;99334,43;7629,079833;14159,73839
15/10/2020;207,21;99054,06;7602,987365;14122,84911
16/10/2020;207,22;98309,12;7608,749558;14109,10007
19/10/2020;203,23;98657,65;7636,913959;14147,76357
20/10/2020;204,03;100539,83;7658,052843;14184,08666
21/10/2020;203,89;100552,44;7660,998042;14175,30813
22/10/2020;204,58;101917,73;7639,945666;14160,97751
23/10/2020;206,53;101259,75;7622,034355;14120,25641
26/10/2020;202,19;101016,96;7620,986578;14131,96596
27/10/2020;203,98;99605,54;7606,387071;14123,55089
28/10/2020;199,74;95368,76;7605,871265;14115,78221
29/10/2020;202,15;96582,16;7612,063775;14125,90826
30/10/2020;198,86;93952,4;7599,993205;14111,51227
03/11/2020;204,92;95979,71;7598,48954;14084,30036
04/11/2020;206,85;97866,81;7622,079253;14116,96321
05/11/2020;205,86;100751,4;7660,039173;14136,84349
06/11/2020;199,91;100925,11;7705,896347;14172,2409
09/11/2020;202,43;103515,16;7736,067088;14200,28206
10/11/2020;203,42;105066,96;7709,349667;14189,12815
11/11/2020;204,39;104808,83;7680,282095;14146,99045
12/11/2020;204,87;102507,01;7658,393427;14135,91148
13/11/2020;207,97;104723;7682,258774;14152,30143
16/11/2020;208,58;106429,92;7684,354556;14160,01491
17/11/2020;203,72;107248,63;7693,178304;14171,45356
18/11/2020;202,61;106119,09;7674,752636;14141,65592
19/11/2020;201,55;106669,9;7676,815752;14142,85788
20/11/2020;202,89;106042,48;7650,431287;14113,17752
23/11/2020;206;107378,92;7641,824224;14092,73814
