SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 3,51 ; 26,13 ; 32,19 ; 0,39 ;;;;;;;;;;;;;;;;
 3,53 ; 26,00 ; 32,77 ; 0,39 ;;;;;;;;;;;;;;;;
 3,51 ; 25,79 ; 32,68 ; 0,37 ;;;;;;;;;;;;;;;;
 3,67 ; 25,83 ; 31,48 ; 0,38 ;;;;;;;;;;;;;;;;
 3,73 ; 25,76 ; 32,23 ; 0,38 ;;;;;;;;;;;;;;;;
 3,82 ; 25,25 ; 32,00 ; 0,36 ;;;;;;;;;;;;;;;;
 3,91 ; 24,99 ; 32,63 ; 0,37 ;;;;;;;;;;;;;;;;
 4,01 ; 24,69 ; 32,54 ; 0,38 ;;;;;;;;;;;;;;;;
 4,15 ; 26,08 ; 33,63 ; 0,40 ;;;;;;;;;;;;;;;;
 4,07 ; 26,40 ; 32,95 ; 0,41 ;;;;;;;;;;;;;;;;
 4,18 ; 26,04 ; 32,62 ; 0,40 ;;;;;;;;;;;;;;;;
 4,32 ; 26,59 ; 33,40 ; 0,41 ;;;;;;;;;;;;;;;;
 4,10 ; 25,47 ; 32,87 ; 0,41 ;;;;;;;;;;;;;;;;
 4,22 ; 24,96 ; 33,40 ; 0,41 ;;;;;;;;;;;;;;;;
 4,38 ; 25,63 ; 33,28 ; 0,46 ;;;;;;;;;;;;;;;;
 4,40 ; 26,71 ; 34,03 ; 0,48 ;;;;;;;;;;;;;;;;
 4,38 ; 26,23 ; 33,81 ; 0,50 ;;;;;;;;;;;;;;;;
 4,57 ; 26,30 ; 33,47 ; 0,49 ;;;;;;;;;;;;;;;;
 4,51 ; 26,17 ; 34,11 ; 0,48 ;;;;;;;;;;;;;;;;
 4,55 ; 25,10 ; 33,96 ; 0,45 ;;;;;;;;;;;;;;;;
 4,70 ; 24,71 ; 34,76 ; 0,49 ;;;;;;;;;;;;;;;;
 4,62 ; 25,01 ; 34,31 ; 0,49 ;;;;;;;;;;;;;;;;
 4,55 ; 25,55 ; 34,45 ; 0,49 ;;;;;;;;;;;;;;;;
 4,49 ; 26,11 ; 34,63 ; 0,49 ;;;;;;;;;;;;;;;;
 4,40 ; 26,24 ; 34,18 ; 0,54 ;;;;;;;;;;;;;;;;
 4,42 ; 26,62 ; 34,21 ; 0,54 ;;;;;;;;;;;;;;;;
 4,49 ; 26,64 ; 34,53 ; 0,53 ;;;;;;;;;;;;;;;;
 4,66 ; 25,70 ; 34,60 ; 0,53 ;;;;;;;;;;;;;;;;
 4,85 ; 26,70 ; 34,81 ; 0,53 ;;;;;;;;;;;;;;;;
 4,80 ; 26,75 ; 35,77 ; 0,59 ;;;;;;;;;;;;;;;;
 4,81 ; 25,75 ; 35,49 ; 0,58 ;;;;;;;;;;;;;;;;
